Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2016-06-01,Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,602,113,489,81.2,18.8,18.8,56,45,10,2,9.3,7.5,1.7,0.3,49.6,39.8,8.8,0.3,489,113
2016-07-01,Jul,2016,NA,NA,NA,NA,NA,NA,NA,NA,485,50,435,89.7,10.3,10.3,26,19,4,1,5.4,3.9,0.8,0.2,52,38,8,0.2,435,50
2016-08-01,Aug,2016,NA,NA,NA,NA,NA,NA,NA,NA,551,75,476,86.4,13.6,13.6,23,26,26,0,4.2,4.7,4.7,0,30.7,34.7,34.7,0,476,75
2016-09-01,Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,520,59,461,88.7,11.3,11.3,17,23,18,1,3.3,4.4,3.5,0.2,28.8,39,30.5,0.2,461,59
2016-10-01,Oct,2016,NA,NA,NA,NA,NA,NA,NA,NA,474,76,398,84,16,16,15,38,11,12,3.2,8,2.3,2.5,19.7,50,14.5,2.5,398,76
2016-11-01,Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,592,85,507,85.6,14.4,14.4,40,34,10,1,6.8,5.7,1.7,0.2,47.1,40,11.8,0.2,507,85
2016-12-01,Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,513,69,444,86.5,13.5,13.5,38,24,7,0,7.4,4.7,1.4,0,55.1,34.8,10.1,0,444,69
2017-01-01,Jan,2017,NA,NA,NA,NA,NA,NA,NA,NA,525,72,453,86.3,13.7,13.7,23,31,15,3,4.4,5.9,2.9,0.6,31.9,43.1,20.8,0.6,453,72
2017-02-01,Feb,2017,NA,NA,NA,NA,NA,NA,NA,NA,487,77,410,84.2,15.8,15.8,30,30,17,0,6.2,6.2,3.5,0,39,39,22.1,0,410,77
2017-03-01,Mar,2017,NA,NA,NA,NA,NA,NA,NA,NA,588,83,505,85.9,14.1,14.1,36,31,16,0,6.1,5.3,2.7,0,43.4,37.3,19.3,0,505,83
2017-04-01,Apr,2017,NA,NA,NA,NA,NA,NA,NA,NA,461,54,407,88.3,11.7,11.7,23,21,9,1,5,4.6,2,0.2,42.6,38.9,16.7,0.2,407,54
2017-05-01,May,2017,NA,NA,NA,NA,NA,NA,NA,NA,571,65,506,88.6,11.4,11.4,27,26,12,0,4.7,4.6,2.1,0,41.5,40,18.5,0,506,65
2017-06-01,Jun,2017,NA,NA,NA,NA,NA,NA,NA,NA,580,62,518,89.3,10.7,10.7,21,28,13,0,3.6,4.8,2.2,0,33.9,45.2,21,0,518,62
2017-07-01,Jul,2017,NA,NA,NA,NA,NA,NA,NA,NA,553,50,503,91,9,9,19,22,9,0,3.4,4,1.6,0,38,44,18,0,503,50
2017-08-01,Aug,2017,NA,NA,NA,NA,NA,NA,NA,NA,572,60,512,89.5,10.5,10.5,19,28,12,1,3.3,4.9,2.1,0.2,31.7,46.7,20,0.2,512,60
2017-09-01,Sep,2017,NA,NA,NA,NA,NA,NA,NA,NA,514,48,466,90.7,9.3,9.3,23,22,3,0,4.5,4.3,0.6,0,47.9,45.8,6.2,0,466,48
2017-10-01,Oct,2017,NA,NA,NA,NA,NA,NA,NA,NA,563,68,495,87.9,12.1,12.1,39,21,8,0,6.9,3.7,1.4,0,57.4,30.9,11.8,0,495,68
2017-11-01,Nov,2017,NA,NA,NA,NA,NA,NA,NA,NA,568,64,504,88.7,11.3,11.3,34,23,6,1,6,4,1.1,0.2,53.1,35.9,9.4,0.2,504,64
2017-12-01,Dec,2017,NA,NA,NA,NA,NA,NA,NA,NA,472,77,395,83.7,16.3,16.3,37,37,3,0,7.8,7.8,0.6,0,48.1,48.1,3.9,0,395,77
2018-01-01,Jan,2018,NA,NA,NA,NA,NA,NA,NA,NA,511,72,439,85.9,14.1,14.1,37,16,16,3,7.2,3.1,3.1,0.6,51.4,22.2,22.2,0.6,439,72
2018-02-01,Feb,2018,NA,NA,NA,NA,NA,NA,NA,NA,460,59,401,87.2,12.8,12.8,31,16,12,0,6.7,3.5,2.6,0,52.5,27.1,20.3,0,401,59
2018-03-01,Mar,2018,NA,NA,NA,NA,NA,NA,NA,NA,518,85,433,83.6,16.4,16.4,24,21,40,0,4.6,4.1,7.7,0,28.2,24.7,47.1,0,433,85
2018-04-01,Apr,2018,NA,NA,NA,NA,NA,NA,NA,NA,509,47,462,90.8,9.2,9.2,20,25,1,1,3.9,4.9,0.2,0.2,42.6,53.2,2.1,0.2,462,47
2018-05-01,May,2018,NA,NA,NA,NA,NA,NA,NA,NA,563,64,499,88.6,11.4,11.4,26,26,11,1,4.6,4.6,2,0.2,40.6,40.6,17.2,0.2,499,64
2018-06-01,Jun,2018,NA,NA,NA,NA,NA,NA,NA,NA,581,54,527,90.7,9.3,9.3,15,33,6,0,2.6,5.7,1,0,27.8,61.1,11.1,0,527,54
2018-07-01,Jul,2018,NA,NA,NA,NA,NA,NA,NA,NA,520,41,479,92.1,7.9,7.9,17,18,6,0,3.3,3.5,1.2,0,41.5,43.9,14.6,0,479,41
2018-08-01,Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,535,50,485,90.7,9.3,9.3,19,17,11,3,3.6,3.2,2.1,0.6,38,34,22,0.6,485,50
2018-09-01,Sep,2018,NA,NA,NA,NA,NA,NA,NA,NA,453,45,408,90.1,9.9,9.9,15,22,8,0,3.3,4.9,1.8,0,33.3,48.9,17.8,0,408,45
2018-10-01,Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,537,52,485,90.3,9.7,9.7,18,26,8,0,3.4,4.8,1.5,0,34.6,50,15.4,0,485,52
2018-11-01,Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,508,61,447,88,12,12,19,25,17,0,3.7,4.9,3.3,0,31.1,41,27.9,0,447,61
2018-12-01,Dec,2018,NA,NA,NA,NA,NA,NA,NA,NA,450,171,279,62,38,38,23,20,127,1,5.1,4.4,28.2,0.2,13.5,11.7,74.3,0.2,279,171
2019-01-01,Jan,2019,NA,NA,NA,NA,NA,NA,NA,NA,527,76,451,85.6,14.4,14.4,26,22,26,2,4.9,4.2,4.9,0.4,34.2,28.9,34.2,0.4,451,76
2019-02-01,Feb,2019,NA,NA,NA,NA,NA,NA,NA,NA,478,73,405,84.7,15.3,15.3,35,25,10,3,7.3,5.2,2.1,0.6,47.9,34.2,13.7,0.6,405,73
2019-03-01,Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,540,68,472,87.4,12.6,12.6,24,21,19,4,4.4,3.9,3.5,0.7,35.3,30.9,27.9,0.7,472,68
2019-04-01,Apr,2019,NA,NA,NA,NA,NA,NA,NA,NA,441,41,400,90.7,9.3,9.3,13,16,12,0,2.9,3.6,2.7,0,31.7,39,29.3,0,400,41
2019-05-01,May,2019,NA,NA,NA,NA,NA,NA,NA,NA,560,41,519,92.7,7.3,7.3,18,14,7,2,3.2,2.5,1.2,0.4,43.9,34.1,17.1,0.4,519,41
2019-06-01,Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,504,71,433,85.9,14.1,14.1,29,16,23,3,5.8,3.2,4.6,0.6,40.8,22.5,32.4,0.6,433,71
2019-07-01,Jul,2019,NA,NA,NA,NA,NA,NA,NA,NA,389,33,356,91.5,8.5,8.5,10,17,6,0,2.6,4.4,1.5,0,30.3,51.5,18.2,0,356,33
2019-08-01,Aug,2019,NA,NA,NA,NA,NA,NA,NA,NA,503,51,452,89.9,10.1,10.1,23,17,10,1,4.6,3.4,2,0.2,45.1,33.3,19.6,0.2,452,51
2019-09-01,Sep,2019,NA,NA,NA,NA,NA,NA,NA,NA,493,64,429,87,13,13,25,27,11,1,5.1,5.5,2.2,0.2,39.1,42.2,17.2,0.2,429,64
2019-10-01,Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,516,65,451,87.4,12.6,12.6,35,22,7,1,6.8,4.3,1.4,0.2,53.8,33.8,10.8,0.2,451,65
2019-11-01,Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,494,58,436,88.3,11.7,11.7,26,21,11,0,5.3,4.3,2.2,0,44.8,36.2,19,0,436,58
2019-12-01,Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,492,87,405,82.3,17.7,17.7,42,33,12,0,8.5,6.7,2.4,0,48.3,37.9,13.8,0,405,87
2020-01-01,Jan,2020,NA,NA,NA,NA,NA,NA,NA,NA,447,62,385,86.1,13.9,13.9,28,23,11,0,6.3,5.1,2.5,0,45.2,37.1,17.7,0,385,62
2020-02-01,Feb,2020,NA,NA,NA,NA,NA,NA,NA,NA,403,65,338,83.9,16.1,16.1,34,22,9,0,8.4,5.5,2.2,0,52.3,33.8,13.8,0,338,65
2020-03-01,Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,383,117,266,69.5,30.5,30.5,38,28,51,0,9.9,7.3,13.3,0,32.5,23.9,43.6,0,266,117
2020-04-01,Apr,2020,NA,NA,NA,NA,NA,NA,NA,NA,80,16,64,80,20,20,1,1,14,0,1.2,1.2,17.5,0,6.2,6.2,87.5,0,64,16
2020-05-01,May,2020,NA,NA,NA,NA,NA,NA,NA,NA,102,5,97,95.1,4.9,4.9,0,5,0,0,0,4.9,0,0,0,100,0,0,97,5
2020-06-01,Jun,2020,NA,NA,NA,NA,NA,NA,NA,NA,152,9,143,94.1,5.9,5.9,2,6,1,0,1.3,3.9,0.7,0,22.2,66.7,11.1,0,143,9
2020-07-01,Jul,2020,NA,NA,NA,NA,NA,NA,NA,NA,229,15,214,93.4,6.6,6.6,2,11,2,0,0.9,4.8,0.9,0,13.3,73.3,13.3,0,214,15
2020-08-01,Aug,2020,NA,NA,NA,NA,NA,NA,NA,NA,229,23,206,90,10,10,3,14,5,1,1.3,6.1,2.2,0.4,13,60.9,21.7,0.4,206,23
2020-09-01,Sep,2020,NA,NA,NA,NA,NA,NA,NA,NA,276,37,239,86.6,13.4,13.4,7,21,8,1,2.5,7.6,2.9,0.4,18.9,56.8,21.6,0.4,239,37
2020-10-01,Oct,2020,NA,NA,NA,NA,NA,NA,NA,NA,328,41,287,87.5,12.5,12.5,5,25,11,0,1.5,7.6,3.4,0,12.2,61,26.8,0,287,41
2020-11-01,Nov,2020,NA,NA,NA,NA,NA,NA,NA,NA,382,26,356,93.2,6.8,6.8,4,19,2,1,1,5,0.5,0.3,15.4,73.1,7.7,0.3,356,26
2020-12-01,Dec,2020,NA,NA,NA,NA,NA,NA,NA,NA,326,30,296,90.8,9.2,9.2,10,19,0,1,3.1,5.8,0,0.3,33.3,63.3,0,0.3,296,30
2021-01-01,Jan,2021,NA,NA,NA,NA,NA,NA,NA,NA,357,36,321,89.9,10.1,10.1,15,19,2,0,4.2,5.3,0.6,0,41.7,52.8,5.6,0,321,36
2021-02-01,Feb,2021,NA,NA,NA,NA,NA,NA,NA,NA,355,23,332,93.5,6.5,6.5,7,10,6,0,2,2.8,1.7,0,30.4,43.5,26.1,0,332,23
2021-03-01,Mar,2021,NA,NA,NA,NA,NA,NA,NA,NA,260,24,236,90.8,9.2,9.2,9,9,6,0,3.5,3.5,2.3,0,37.5,37.5,25,0,236,24
