Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,NA,NA,NA,NA,NA,NA,NA,NA,478,73,405,84.7,15.3,15.3,33,26,7,7,6.9,5.4,1.5,1.5,45.2,35.6,9.6,1.5,405,73
2015-06-01,Jun,2015,NA,NA,NA,NA,NA,NA,NA,NA,608,60,548,90.1,9.9,9.9,33,22,3,2,5.4,3.6,0.5,0.3,55,36.7,5,0.3,548,60
2015-07-01,Jul,2015,NA,NA,NA,NA,NA,NA,NA,NA,507,63,444,87.6,12.4,12.4,24,28,9,2,4.7,5.5,1.8,0.4,38.1,44.4,14.3,0.4,444,63
2015-08-01,Aug,2015,NA,NA,NA,NA,NA,NA,NA,NA,469,43,426,90.8,9.2,9.2,20,17,6,0,4.3,3.6,1.3,0,46.5,39.5,14,0,426,43
2015-09-01,Sep,2015,NA,NA,NA,NA,NA,NA,NA,NA,559,66,493,88.2,11.8,11.8,29,28,9,0,5.2,5,1.6,0,43.9,42.4,13.6,0,493,66
2015-10-01,Oct,2015,NA,NA,NA,NA,NA,NA,NA,NA,516,82,434,84.1,15.9,15.9,39,27,14,2,7.6,5.2,2.7,0.4,47.6,32.9,17.1,0.4,434,82
2015-11-01,Nov,2015,NA,NA,NA,NA,NA,NA,NA,NA,499,76,423,84.8,15.2,15.2,26,29,21,0,5.2,5.8,4.2,0,34.2,38.2,27.6,0,423,76
2015-12-01,Dec,2015,NA,NA,NA,NA,NA,NA,NA,NA,563,95,468,83.1,16.9,16.9,53,27,15,0,9.4,4.8,2.7,0,55.8,28.4,15.8,0,468,95
2016-01-01,Jan,2016,NA,NA,NA,NA,NA,NA,NA,NA,467,64,403,86.3,13.7,13.7,29,16,19,0,6.2,3.4,4.1,0,45.3,25,29.7,0,403,64
2016-02-01,Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,518,110,408,78.8,21.2,21.2,62,29,17,2,12,5.6,3.3,0.4,56.4,26.4,15.5,0.4,408,110
2016-03-01,Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,510,118,392,76.9,23.1,23.1,56,26,36,0,11,5.1,7.1,0,47.5,22,30.5,0,392,118
2016-04-01,Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,497,87,410,82.5,17.5,17.5,48,20,16,3,9.7,4,3.2,0.6,55.2,23,18.4,0.6,410,87
2016-05-01,May,2016,NA,NA,NA,NA,NA,NA,NA,NA,527,101,426,80.8,19.2,19.2,55,37,9,0,10.4,7,1.7,0,54.5,36.6,8.9,0,426,101
