Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2018-07-01,Jul,2018,NA,NA,NA,NA,NA,NA,NA,NA,69,10,59,85.5,14.5,14.5,2,1,7,0,2.9,1.4,10.1,0,20,10,70,0,59,10
2018-08-01,Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,94,7,87,92.6,7.4,7.4,5,0,1,1,5.3,0,1.1,1.1,71.4,0,14.3,1.1,87,7
2018-09-01,Sep,2018,NA,NA,NA,NA,NA,NA,NA,NA,69,13,56,81.2,18.8,18.8,10,3,0,0,14.5,4.3,0,0,76.9,23.1,0,0,56,13
2018-10-01,Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,50,7,43,86,14,14,5,2,0,0,10,4,0,0,71.4,28.6,0,0,43,7
2018-11-01,Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,73,5,68,93.2,6.8,6.8,1,3,0,1,1.4,4.1,0,1.4,20,60,0,1.4,68,5
2018-12-01,Dec,2018,NA,NA,NA,NA,NA,NA,NA,NA,56,8,48,85.7,14.3,14.3,8,0,0,0,14.3,0,0,0,100,0,0,0,48,8
2019-01-01,Jan,2019,NA,NA,NA,NA,NA,NA,NA,NA,86,16,70,81.4,18.6,18.6,8,2,6,0,9.3,2.3,7,0,50,12.5,37.5,0,70,16
2019-02-01,Feb,2019,NA,NA,NA,NA,NA,NA,NA,NA,69,9,60,87,13,13,8,1,0,0,11.6,1.4,0,0,88.9,11.1,0,0,60,9
2019-03-01,Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,120,17,103,85.8,14.2,14.2,12,4,1,0,10,3.3,0.8,0,70.6,23.5,5.9,0,103,17
2019-04-01,Apr,2019,NA,NA,NA,NA,NA,NA,NA,NA,94,12,82,87.2,12.8,12.8,12,0,0,0,12.8,0,0,0,100,0,0,0,82,12
2019-05-01,May,2019,NA,NA,NA,NA,NA,NA,NA,NA,109,12,97,89,11,11,9,2,0,1,8.3,1.8,0,0.9,75,16.7,0,0.9,97,12
2019-06-01,Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,78,13,65,83.3,16.7,16.7,10,3,0,0,12.8,3.8,0,0,76.9,23.1,0,0,65,13
2019-07-01,Jul,2019,NA,NA,NA,NA,NA,NA,NA,NA,79,7,72,91.1,8.9,8.9,5,2,0,0,6.3,2.5,0,0,71.4,28.6,0,0,72,7
2019-08-01,Aug,2019,NA,NA,NA,NA,NA,NA,NA,NA,34,1,33,97.1,2.9,2.9,1,0,0,0,2.9,0,0,0,100,0,0,0,33,1
